latency_ns,cdf
2.04e+06,0.272461
2.04e+06,0.272949
2.04e+06,0.273438
2.04e+06,0.273926
2.04e+06,0.274414
2.04e+06,0.274902
2.04e+06,0.275391
2.04e+06,0.275879
2.04e+06,0.276367
2.04e+06,0.276855
2.04e+06,0.277344
2.04e+06,0.277832
2.04e+06,0.27832
2.04e+06,0.278809
2.04e+06,0.279297
2.04e+06,0.279785
2.04e+06,0.280273
2.04e+06,0.280762
2.04e+06,0.28125
2.04e+06,0.281738
2.04e+06,0.282227
2.04e+06,0.282715
2.04e+06,0.283203
2.04e+06,0.283691
2.04e+06,0.28418
2.04e+06,0.284668
2.04e+06,0.285156
2.04e+06,0.285645
2.04e+06,0.286133
2.04e+06,0.286621
2.04e+06,0.287109
2.04e+06,0.287598
2.04e+06,0.288086
2.04e+06,0.288574
2.04e+06,0.289062
2.04e+06,0.289551
2.04e+06,0.290039
2.04e+06,0.290527
2.04e+06,0.291016
2.04e+06,0.291504
2.04e+06,0.291992
2.04e+06,0.29248
2.04e+06,0.292969
2.04e+06,0.293457
2.04e+06,0.293945
2.04e+06,0.294434
2.04e+06,0.294922
2.04e+06,0.29541
2.04e+06,0.295898
2.04e+06,0.296387
2.04e+06,0.296875
2.04e+06,0.297363
2.04e+06,0.297852
2.04e+06,0.29834
2.04e+06,0.298828
2.04e+06,0.299316
2.04e+06,0.299805
2.04e+06,0.300293
2.04e+06,0.300781
2.04e+06,0.30127
2.04e+06,0.301758
2.04e+06,0.302246
2.04e+06,0.302734
2.04e+06,0.303223
2.04e+06,0.303711
2.04e+06,0.304199
2.04e+06,0.304688
2.04e+06,0.305176
2.04e+06,0.305664
2.04e+06,0.306152
2.04e+06,0.306641
2.04e+06,0.307129
2.04e+06,0.307617
2.04e+06,0.308105
2.04e+06,0.308594
2.04e+06,0.309082
2.04e+06,0.30957
2.04e+06,0.310059
2.04e+06,0.310547
2.04e+06,0.311035
2.04e+06,0.311523
2.04e+06,0.312012
2.04e+06,0.3125
2.04e+06,0.312988
2.04e+06,0.313477
2.04e+06,0.313965
2.04e+06,0.314453
2.04e+06,0.314941
2.04e+06,0.31543
2.04e+06,0.315918
2.04e+06,0.316406
2.04e+06,0.316895
2.04e+06,0.317383
2.04e+06,0.317871
2.04e+06,0.318359
2.04e+06,0.318848
2.04e+06,0.319336
2.04e+06,0.319824
2.04e+06,0.320312
2.04e+06,0.320801
2.04e+06,0.321289
2.04e+06,0.321777
2.04e+06,0.322266
2.04e+06,0.322754
2.04e+06,0.323242
2.04e+06,0.32373
2.04e+06,0.324219
2.04e+06,0.324707
2.04e+06,0.325195
2.06e+06,0.325684
2.06e+06,0.326172
2.06e+06,0.32666
2.06e+06,0.327148
2.06e+06,0.327637
2.06e+06,0.328125
2.06e+06,0.328613
2.06e+06,0.329102
2.06e+06,0.32959
2.06e+06,0.330078
2.06e+06,0.330566
2.06e+06,0.331055
2.06e+06,0.331543
2.06e+06,0.332031
2.06e+06,0.33252
2.06e+06,0.333008
2.06e+06,0.333496
2.06e+06,0.333984
2.06e+06,0.334473
2.06e+06,0.334961
2.06e+06,0.335449
2.06e+06,0.335938
2.06e+06,0.336426
2.06e+06,0.336914
2.06e+06,0.337402
2.06e+06,0.337891
2.06e+06,0.338379
2.06e+06,0.338867
2.06e+06,0.339355
2.06e+06,0.339844
2.06e+06,0.340332
2.06e+06,0.34082
2.06e+06,0.341309
2.06e+06,0.341797
2.06e+06,0.342285
2.06e+06,0.342773
2.06e+06,0.343262
2.06e+06,0.34375
2.06e+06,0.344238
2.06e+06,0.344727
2.06e+06,0.345215
2.06e+06,0.345703
2.06e+06,0.346191
2.06e+06,0.34668
2.06e+06,0.347168
2.06e+06,0.347656
2.06e+06,0.348145
2.06e+06,0.348633
2.06e+06,0.349121
2.06e+06,0.349609
2.06e+06,0.350098
2.06e+06,0.350586
2.06e+06,0.351074
2.06e+06,0.351562
2.06e+06,0.352051
2.06e+06,0.352539
2.06e+06,0.353027
2.06e+06,0.353516
2.06e+06,0.354004
2.06e+06,0.354492
2.06e+06,0.35498
2.06e+06,0.355469
2.06e+06,0.355957
2.06e+06,0.356445
2.06e+06,0.356934
2.06e+06,0.357422
2.06e+06,0.35791
2.06e+06,0.358398
2.06e+06,0.358887
2.06e+06,0.359375
2.06e+06,0.359863
2.06e+06,0.360352
2.06e+06,0.36084
2.06e+06,0.361328
2.06e+06,0.361816
2.06e+06,0.362305
2.06e+06,0.362793
2.06e+06,0.363281
2.06e+06,0.36377
2.06e+06,0.364258
2.06e+06,0.364746
2.06e+06,0.365234
2.06e+06,0.365723
2.06e+06,0.366211
2.06e+06,0.366699
2.06e+06,0.367188
2.06e+06,0.367676
2.06e+06,0.368164
2.06e+06,0.368652
2.06e+06,0.369141
2.06e+06,0.369629
2.06e+06,0.370117
2.06e+06,0.370605
2.06e+06,0.371094
2.06e+06,0.371582
2.06e+06,0.37207
2.06e+06,0.372559
2.06e+06,0.373047
2.06e+06,0.373535
2.06e+06,0.374023
2.06e+06,0.374512
2.06e+06,0.375
2.06e+06,0.375488
2.06e+06,0.375977
2.06e+06,0.376465
2.06e+06,0.376953
2.06e+06,0.377441
2.06e+06,0.37793
2.06e+06,0.378418
2.06e+06,0.378906
2.06e+06,0.379395
2.06e+06,0.379883
2.06e+06,0.380371
2.06e+06,0.380859
2.06e+06,0.381348
2.06e+06,0.381836
2.06e+06,0.382324
2.06e+06,0.382812
2.06e+06,0.383301
2.06e+06,0.383789
2.06e+06,0.384277
2.06e+06,0.384766
2.06e+06,0.385254
2.06e+06,0.385742
2.06e+06,0.38623
2.06e+06,0.386719
2.06e+06,0.387207
2.06e+06,0.387695
2.06e+06,0.388184
2.06e+06,0.388672
2.06e+06,0.38916
2.06e+06,0.389648
2.06e+06,0.390137
2.06e+06,0.390625
2.06e+06,0.391113
2.06e+06,0.391602
2.06e+06,0.39209
2.06e+06,0.392578
2.06e+06,0.393066
2.06e+06,0.393555
2.06e+06,0.394043
2.06e+06,0.394531
2.06e+06,0.39502
2.06e+06,0.395508
2.06e+06,0.395996
2.06e+06,0.396484
2.06e+06,0.396973
2.06e+06,0.397461
2.06e+06,0.397949
2.06e+06,0.398438
2.06e+06,0.398926
2.06e+06,0.399414
2.06e+06,0.399902
2.06e+06,0.400391
2.06e+06,0.400879
2.06e+06,0.401367
2.06e+06,0.401855
2.06e+06,0.402344
2.06e+06,0.402832
2.06e+06,0.40332
2.06e+06,0.403809
2.06e+06,0.404297
2.06e+06,0.404785
2.06e+06,0.405273
2.06e+06,0.405762
2.06e+06,0.40625
2.06e+06,0.406738
2.06e+06,0.407227
2.06e+06,0.407715
2.06e+06,0.408203
2.06e+06,0.408691
2.06e+06,0.40918
2.06e+06,0.409668
2.06e+06,0.410156
2.06e+06,0.410645
2.06e+06,0.411133
2.06e+06,0.411621
2.06e+06,0.412109
2.06e+06,0.412598
2.06e+06,0.413086
2.06e+06,0.413574
2.06e+06,0.414062
2.06e+06,0.414551
2.06e+06,0.415039
2.06e+06,0.415527
2.06e+06,0.416016
2.06e+06,0.416504
2.06e+06,0.416992
2.06e+06,0.41748
2.06e+06,0.417969
2.06e+06,0.418457
2.06e+06,0.418945
2.06e+06,0.419434
2.06e+06,0.419922
2.06e+06,0.42041
2.06e+06,0.420898
2.06e+06,0.421387
2.06e+06,0.421875
2.06e+06,0.422363
2.06e+06,0.422852
2.06e+06,0.42334
2.06e+06,0.423828
2.06e+06,0.424316
2.06e+06,0.424805
2.06e+06,0.425293
2.06e+06,0.425781
2.06e+06,0.42627
2.06e+06,0.426758
2.06e+06,0.427246
2.06e+06,0.427734
2.06e+06,0.428223
2.06e+06,0.428711
2.06e+06,0.429199
2.06e+06,0.429688
2.06e+06,0.430176
2.06e+06,0.430664
2.06e+06,0.431152
2.06e+06,0.431641
2.06e+06,0.432129
2.06e+06,0.432617
2.06e+06,0.433105
2.06e+06,0.433594
2.06e+06,0.434082
2.06e+06,0.43457
2.06e+06,0.435059
2.06e+06,0.435547
2.06e+06,0.436035
2.06e+06,0.436523
2.06e+06,0.437012
2.06e+06,0.4375
2.06e+06,0.437988
2.06e+06,0.438477
2.06e+06,0.438965
2.06e+06,0.439453
2.06e+06,0.439941
2.06e+06,0.44043
2.06e+06,0.440918
2.06e+06,0.441406
2.06e+06,0.441895
2.06e+06,0.442383
2.06e+06,0.442871
2.06e+06,0.443359
2.06e+06,0.443848
2.06e+06,0.444336
2.06e+06,0.444824
2.06e+06,0.445312
2.06e+06,0.445801
2.06e+06,0.446289
2.06e+06,0.446777
2.06e+06,0.447266
2.06e+06,0.447754
2.06e+06,0.448242
2.06e+06,0.44873
2.06e+06,0.449219
2.06e+06,0.449707
